Image_Path;Image_Width;Image_Height;YOLO_Results_File;Class_Id;Class_Name;Detected_coordinates;Absolute_coordinates;Confidence;Url_Detection;Url_Image
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_509.jpg;4407;4965;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_509.txt;3;AM;0.444 0.4949 0.8873 0.9852;1,11,3910,4891;0.9796794056892396;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyy2aiq3rfxg/1,11,3910,4891/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyy2aiq3rfxg/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_51.jpg;4443;4911;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_51.txt;1;AI;0.4237 0.5103 0.8469 0.9615;1,145,3762,4721;0.8671361207962036;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrqe528fx1to/1,145,3762,4721/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrqe528fx1to/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_510.jpg;4461;5007;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_510.txt;3;AM;0.5083 0.491 0.9833 0.9788;74,8,4386,4900;0.979129195213318;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsw4rd31rm7d/74,8,4386,4900/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsw4rd31rm7d/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_511.jpg;4407;4965;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_511.txt;3;AM;0.4415 0.5048 0.8823 0.9772;1,80,3888,4851;0.9625566601753236;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gr5ojmi9kg/1,80,3888,4851/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gr5ojmi9kg/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_512.jpg;4461;5007;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_512.txt;3;AM;0.5062 0.4964 0.9876 0.9891;55,9,4405,4952;0.9604452848434448;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbuz2yriw8bt/55,9,4405,4952/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbuz2yriw8bt/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_513.jpg;4407;4965;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_513.txt;3;AM;0.4432 0.5041 0.8852 0.9898;2,45,3901,4914;0.947769582271576;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc37g4y2cc3s/2,45,3901,4914/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc37g4y2cc3s/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_514.jpg;4461;5007;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_514.txt;2;AF;0.5051 0.4966 0.9895 0.9887;46,11,4414,4950;0.904723584651947;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v39hnvzxfg9a/46,11,4414,4950/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v39hnvzxfg9a/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_515.jpg;4407;4965;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_515.txt;0;AC;0.4495 0.2828 0.8991 0.5027;0,156,3962,2495;0.920949161052704;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgb97u5f5ys8/0,156,3962,2495/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgb97u5f5ys8/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_515.jpg;4407;4965;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_515.txt;1;AI;0.443 0.766 0.8855 0.4655;1,2647,3902,2311;0.9644815325737;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgb97u5f5ys8/1,2647,3902,2311/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgb97u5f5ys8/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ162/Paris_Archives_Nationales_JJ162_516.jpg;4461;5007;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ162/labels/Paris_Archives_Nationales_JJ162_516.txt;2;AF;0.5008 0.2927 0.9975 0.5805;9,12,4449,2906;0.9683571457862854;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v59c4cohghlp/9,12,4449,2906/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v59c4cohghlp/full/full/0/default.jpg
