zone_temp_id;temporary_JJ96-211;register;act_number;warning
60022;33430;JJ176;293;FOLIO vide ou non reconnu dans Acts CSV
60023;33430;JJ176;293;FOLIO vide ou non reconnu dans Acts CSV
60024;33431;JJ176;294;FOLIO vide ou non reconnu dans Acts CSV
60025;33431;JJ176;294;FOLIO vide ou non reconnu dans Acts CSV
60026;33432;JJ176;295;FOLIO vide ou non reconnu dans Acts CSV
60027;33432;JJ176;295;FOLIO vide ou non reconnu dans Acts CSV
60028;33433;JJ176;296;FOLIO vide ou non reconnu dans Acts CSV
60029;33433;JJ176;296;FOLIO vide ou non reconnu dans Acts CSV
60030;33434;JJ176;297;FOLIO vide ou non reconnu dans Acts CSV
60031;33434;JJ176;297;FOLIO vide ou non reconnu dans Acts CSV
60032;33434;JJ176;297;FOLIO vide ou non reconnu dans Acts CSV
60033;33435;JJ176;298;FOLIO vide ou non reconnu dans Acts CSV
60034;33435;JJ176;298;FOLIO vide ou non reconnu dans Acts CSV
60035;33436;JJ176;299;FOLIO vide ou non reconnu dans Acts CSV
60036;33436;JJ176;299;FOLIO vide ou non reconnu dans Acts CSV
60037;33437;JJ176;300;FOLIO vide ou non reconnu dans Acts CSV
60038;33437;JJ176;300;FOLIO vide ou non reconnu dans Acts CSV
60039;33437;JJ176;300;FOLIO vide ou non reconnu dans Acts CSV
60040;33438;JJ176;301;FOLIO vide ou non reconnu dans Acts CSV
60041;33438;JJ176;301;FOLIO vide ou non reconnu dans Acts CSV
60042;33439;JJ176;302;FOLIO vide ou non reconnu dans Acts CSV
60043;33439;JJ176;302;FOLIO vide ou non reconnu dans Acts CSV
60044;33440;JJ176;303;FOLIO vide ou non reconnu dans Acts CSV
60045;33440;JJ176;303;FOLIO vide ou non reconnu dans Acts CSV
60046;33441;JJ176;304;FOLIO vide ou non reconnu dans Acts CSV
60047;33442;JJ176;305;FOLIO vide ou non reconnu dans Acts CSV
60048;33442;JJ176;305;FOLIO vide ou non reconnu dans Acts CSV
60049;33443;JJ176;306;FOLIO vide ou non reconnu dans Acts CSV
60050;33443;JJ176;306;FOLIO vide ou non reconnu dans Acts CSV
60051;33444;JJ176;307;FOLIO vide ou non reconnu dans Acts CSV
60052;33444;JJ176;307;FOLIO vide ou non reconnu dans Acts CSV
60053;33445;JJ176;308;FOLIO vide ou non reconnu dans Acts CSV
60054;33445;JJ176;308;FOLIO vide ou non reconnu dans Acts CSV
60055;33446;JJ176;309;FOLIO vide ou non reconnu dans Acts CSV
60056;33447;JJ176;310;FOLIO vide ou non reconnu dans Acts CSV
60057;33448;JJ176;311;FOLIO vide ou non reconnu dans Acts CSV
60058;33448;JJ176;311;FOLIO vide ou non reconnu dans Acts CSV
60059;33449;JJ176;312;FOLIO vide ou non reconnu dans Acts CSV
60060;33449;JJ176;312;FOLIO vide ou non reconnu dans Acts CSV
60061;33450;JJ176;313;FOLIO vide ou non reconnu dans Acts CSV
60062;33451;JJ176;314;FOLIO vide ou non reconnu dans Acts CSV
60063;33452;JJ176;315;FOLIO vide ou non reconnu dans Acts CSV
60064;33452;JJ176;315;FOLIO vide ou non reconnu dans Acts CSV
60065;33453;JJ176;316;FOLIO vide ou non reconnu dans Acts CSV
60066;33454;JJ176;317;FOLIO vide ou non reconnu dans Acts CSV
60067;33454;JJ176;317;FOLIO vide ou non reconnu dans Acts CSV
60068;33455;JJ176;318;FOLIO vide ou non reconnu dans Acts CSV
60069;33455;JJ176;318;FOLIO vide ou non reconnu dans Acts CSV
60070;33456;JJ176;319;FOLIO vide ou non reconnu dans Acts CSV
60071;33456;JJ176;319;FOLIO vide ou non reconnu dans Acts CSV
60072;33457;JJ176;320;FOLIO vide ou non reconnu dans Acts CSV
60073;33457;JJ176;320;FOLIO vide ou non reconnu dans Acts CSV
60074;33458;JJ176;321;FOLIO vide ou non reconnu dans Acts CSV
60075;33458;JJ176;321;FOLIO vide ou non reconnu dans Acts CSV
60076;33459;JJ176;322;FOLIO vide ou non reconnu dans Acts CSV
60077;33460;JJ176;323;FOLIO vide ou non reconnu dans Acts CSV
60078;33460;JJ176;323;FOLIO vide ou non reconnu dans Acts CSV
60079;33461;JJ176;324;FOLIO vide ou non reconnu dans Acts CSV
