Image_Path;Image_Width;Image_Height;YOLO_Results_File;Class_Id;Class_Name;Detected_coordinates;Absolute_coordinates;Confidence;Url_Detection;Url_Image
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_204.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_204.txt;1;AI;0.5906 0.7148 0.8158 0.5291;794,2223,3546,2612;0.9628245830535888;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5rcdtygjzi1/794,2223,3546,2612/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5rcdtygjzi1/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_204.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_204.txt;2;AF;0.5088 0.2299 0.9798 0.4399;82,49,4259,2172;0.966639757156372;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5rcdtygjzi1/82,49,4259,2172/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5rcdtygjzi1/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_205.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_205.txt;1;AI;0.4221 0.6738 0.8434 0.6455;1,1727,3612,3175;0.969051718711853;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v28ezx5l6lik/1,1727,3612,3175/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v28ezx5l6lik/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_205.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_205.txt;2;AF;0.4775 0.1774 0.9522 0.3473;5,18,4078,1708;0.9614418745040894;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v28ezx5l6lik/5,18,4078,1708/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v28ezx5l6lik/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_206.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_206.txt;1;AI;0.5858 0.7437 0.8253 0.4769;752,2494,3587,2354;0.9650484323501588;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrerlx039y80/752,2494,3587,2354/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrerlx039y80/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_206.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_206.txt;2;AF;0.5832 0.257 0.8303 0.498;730,39,3609,2459;0.9657581448554992;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrerlx039y80/730,39,3609,2459/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrerlx039y80/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_207.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_207.txt;2;AF;0.4213 0.302 0.8423 0.5961;0,19,3607,2932;0.948700189590454;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbmua3e9lfbt/0,19,3607,2932/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbmua3e9lfbt/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_207.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_207.txt;1;AI;0.4241 0.798 0.8467 0.3995;3,2943,3626,1965;0.959574282169342;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbmua3e9lfbt/3,2943,3626,1965/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbmua3e9lfbt/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_208.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_208.txt;2;AF;0.5863 0.3541 0.8245 0.6927;756,38,3584,3420;0.971643567085266;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vubrzwxleict/756,38,3584,3420/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vubrzwxleict/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_208.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_208.txt;1;AI;0.5041 0.8401 0.9887 0.2754;42,3468,4297,1359;0.9485082626342772;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vubrzwxleict/42,3468,4297,1359/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vubrzwxleict/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_209.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_209.txt;2;AF;0.421 0.3203 0.8417 0.6284;0,30,3605,3091;0.9432602524757384;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9xqa108a0kx/0,30,3605,3091/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9xqa108a0kx/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_209.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_209.txt;1;AI;0.4299 0.8135 0.8574 0.3582;5,3121,3672,1762;0.8957313895225525;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9xqa108a0kx/5,3121,3672,1762/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9xqa108a0kx/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_21.jpg;4147;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_21.txt;1;AI;0.4998 0.8133 0.9992 0.3532;0,3086,4143,1711;0.9549172520637512;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vx2jxgvoice9/0,3086,4143,1711/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vx2jxgvoice9/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_21.jpg;4147;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_21.txt;2;AF;0.4996 0.3189 0.9989 0.6339;0,9,4142,3072;0.9707775115966796;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vx2jxgvoice9/0,9,4142,3072/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vx2jxgvoice9/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_210.jpg;4347;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_210.txt;3;AM;0.5894 0.5045 0.8192 0.9864;781,55,3561,4870;0.9757456183433532;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvu093lpffjq/781,55,3561,4870/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvu093lpffjq/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_211.jpg;4283;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_211.txt;1;AI;0.4229 0.785 0.8451 0.4293;1,2806,3619,2112;0.9351304173469543;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6jm441mhuvf/1,2806,3619,2112/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6jm441mhuvf/full/full/0/default.jpg
