Paris_AN_JJ_inventaire_Gascogne.xml_Register;Paris_AN_JJ_inventaire_Gascogne.xml_Act_number;Paris_AN_JJ_inventaire_Gascogne.xml_Head;Paris_AN_JJ_inventaire_Gascogne.xml_Locus;Paris_AN_JJ_inventaire_Gascogne.xml_File
JJ50;21;79;20vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ50;32;80;25vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ50;38;81;28vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ50;50;82;37;Paris_AN_JJ_inventaire_Gascogne.xml
JJ50;53;83;40;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;28;84;10vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;33;85;14vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;34;86;16;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;89;87;47vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;125;88;fol65vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;128;89;68;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;129;90;68vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;130;91;70;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;159;92;81;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;160;93;81;Paris_AN_JJ_inventaire_Gascogne.xml
JJ52;217;94;113;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;18;95;9vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;56;96;24;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;74;97;33;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;171;98;75;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;239;99;100;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;240;100;100;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;254;101;106vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;259;102;108vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;266;103;112vo;Paris_AN_JJ_inventaire_Gascogne.xml
