Paris_AN_JJ_inventaire_Gascogne.xml_Register;Paris_AN_JJ_inventaire_Gascogne.xml_Act_number;Paris_AN_JJ_inventaire_Gascogne.xml_Head;Paris_AN_JJ_inventaire_Gascogne.xml_Locus;Paris_AN_JJ_inventaire_Gascogne.xml_File
JJ65A;29;344;15v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;46;345;31v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;53;346;40v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;61;347;51;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;76;348;62v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;81;349;66;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;83;350;67;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;92;351;72;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;98;352;75v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;99;353;76;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;144;354;101;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;180;355;123;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;224;356;150;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;246;357;159;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;260;358;171v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;268bis;359;185;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;269;360;185;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;11;361;fol4v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;35;362;11;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;41;363;12;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;49;364;13;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;120;364;31;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;50;365;13;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;84;366;21v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;90;367;22v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;91;368;22v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;102;369;26;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;106;370;27;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;128;371;33;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;188bis;372;51;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;194;373;55v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;230;374;71;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;234;375;71v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;244;376;77;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65B;281;377;90;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;13;378;6v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;24;379;9;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;25;380;9;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;30;381;10v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;59;382;17;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;67;383;18;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;104;384;35;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;115;385;38v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;139;386;50v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;145;387;55v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;152;388;58;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;156;389;60;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;195;390;70v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;204;391;72;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;231;392;84;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;331;393;129vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;387;394;152v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;430;395;176v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;472;396;189v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;508;397;206;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;515;398;208v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;529;399;224;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;530;400;224;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;538;401;230;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;544;402;232;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;554;403;235v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;576;404;246;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;617;405;260;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;620;406;f261;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;637;407;267;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;648;408;271v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;654;409;274;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;691;410;283;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;693;411;283v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;701;412;285;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;727;413;294v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;740;414;310;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;743;415;310;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;751;416;313v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;758;417;316;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;766;418;318v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;767;419;319v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;798;420;332;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;800;421;332;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;814;422;336;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;877;423;354;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;879;424;354v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;887;425;363;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;927;426;383v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;929;427;384;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;930;428;386;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;935;429;386vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;966;430;399;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;967;431;399;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;973;432;405;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;998;433;417;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1007;434;422;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1026;435;426;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1028;436;429;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1078;437;461v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1087;438;465;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1183;439;506;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1187;440;508;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1316;440;567;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1188;441;508v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1232;442;525;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1239;443;530v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1242;444;531vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1258;445;537v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1259;446;538;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1260;447;538;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1280;447;549;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1269;448;543v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1277;449;fo547;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1280;450;549;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1298;451;559v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1318;452;568v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1378;453;596;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1402;454;612v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1443;455;f635;Paris_AN_JJ_inventaire_Gascogne.xml
JJ66;1446;456;636;Paris_AN_JJ_inventaire_Gascogne.xml
JJ67;40;457;13v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ67;75;458;26;Paris_AN_JJ_inventaire_Gascogne.xml
JJ67;113;459;48v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;22bis;460;13v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;35;461;21;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;43;462;24-27v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;48;463;28v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;55;464;35;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;109;465;62v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;149;466;84;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;154;467;85;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;158;468;86;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;183;469;97;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;190;470;100;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;213;471;413v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;221;472;419;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;226;473;421v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;227;473;422;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;230;474;423;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;233;475;424vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;234;476;425;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;238bis;477;428v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;270;478;439v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;281;479;442v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;286;480;453;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;344;481;481;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;345;482;481v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;363;483;486v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;364;484;486v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;365;485;487;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;368;486;488;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;397;487;499;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;399;488;501;Paris_AN_JJ_inventaire_Gascogne.xml
JJ68;404;489;505v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;42;490;19;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;80;491;35;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;108;492;43v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;128;493;48v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;129;494;48v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;164;495;59v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;165;496;59v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;178;497;72;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;200;498;90;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;201;499;90;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;235;500;fol102;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;240;501;104v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;246;502;106;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;259;503;11v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;260;504;111v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;340;505;152v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ69;341;506;153;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;2;507;2v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;3;508;2v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;8;509;5;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;17;510;fol7;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;52;511;21à27v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;76;512;37;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;77;513;37v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;78;514;38;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;81;515;38và40;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;82;516;40;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;83;517;40v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;84;518;40v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;117;519;53và58;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;170;520;82;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;66;520;50-51v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;179;521;92;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;260;521;148;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;247;522;142v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;259;523;146và148;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;275;524;153;Paris_AN_JJ_inventaire_Gascogne.xml
JJ70;279;525;124v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;37;526;20v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;43;527;31v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;45;528;33v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;46;529;34;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;94;529;72;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;49;530;38à41v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;60;531;47v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;77;532;58v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;98;533;75;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;156;534;116v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;157;535;116v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;158;536;117;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;159;537;117;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;170;538;122;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;182;539;132à134v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;186;540;137v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;218;541;154v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;229;542;158;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;230;543;158v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;238;544;161;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;245;545;164;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;246;546;165;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;254;547;172;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;261;548;178;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;317;549;223;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;318;550;224;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;329;551;230;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;330;552;230;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;331;553;230;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;333;554;230v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;347;555;235;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;365;556;246;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;374;557;252v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;379;558;225v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;380;559;255v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;382;560;256v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;388;561;260vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;397;562;274;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;312;562;274;Paris_AN_JJ_inventaire_Gascogne.xml
JJ71;398;563;274và278;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;26;564;26;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;64;565;59;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;65;566;59;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;66;567;59v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;75;568;62;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;133;569A;89;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;134;569B;89;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;135;570;89;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;136;571;89v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;162;572;100;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;168;573;107;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;197;574;127;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;216;575;145à155v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;223;576;164;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;249;577;180;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;264;578;193v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;271;579;197vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;274;580;198v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;287;581;208;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;288;582;208v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;308;583;223;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;314;584;231;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;330;585;240;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;361;586;264;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;373;587;275;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;386;588;296và298;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;420;589;351;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;462;590;374;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;463;591;374v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;488;592;391v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;492;593;393v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;493;594;394;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;497;595;395;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;517;596;405v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;522;597;407;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;545;598;419v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;553;599;423;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;554;600;423;Paris_AN_JJ_inventaire_Gascogne.xml
JJ72;559;601;429v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;6;602;12v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;33;603;30;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;34;604;30v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;57;605;44v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;61;606;46v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;62;607;47v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;74;608;59-60;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;75;608;60;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;84;609;71v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;90;610;75;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;93;611;78;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;139;612;118;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;171;613;140v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;180;614;145vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;187;615;147vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;190;616;149;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;195;617;151v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;200;618;152v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;203;619;158;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;205;620;159-161;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;212;621;169vo170v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;220;622;176;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;227;623;179;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;288;624;179;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;229;625;180;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;241;626;189v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;247;627;193v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;294;628;234;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;307;629;243;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;314;630;246;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;315;631;247;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;320;632;249;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;323;633;250v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;326;634;lfol255-262;Paris_AN_JJ_inventaire_Gascogne.xml
JJ73;341;635;277;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;10;636;5;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;26bis;637;13v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;57;638;33;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;59;639;33vo-35v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;63;640;37v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;77;641;45;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;94;642;59;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;125;643;76-78;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;164;644;99v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;179;645;108;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;180;646A;108;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;181;646B;108;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;182;646C;108;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;183;647;108;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;184;648;108;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;187;648bis;109;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;189;649;109v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;190;650;110v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;232;651;129;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;237;652;134;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;382;653;fo222v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;384;654;223;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;394vo;655;227v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;401;656;f232;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;410;657;236v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;414;658;241;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;435;659;253;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;456;660;269vo-271v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;589;661;350;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;599;662;354v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;611;663;360v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;619;664;366;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;628;665;372;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;634;666;374v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;110650;667;389;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;651;668;389;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;653;669;390;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;655;670;391;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;656;670bis;391;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;658;671;392-393v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;676;672;403vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;679;673;400;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;681;674;403v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;750;675;426;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;751;676;426v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;752;677;427;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;753;678;427;Paris_AN_JJ_inventaire_Gascogne.xml
JJ74;754;679;fol427v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;13;680;4;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;73;681;38v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;89;682;fol48;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;258;683;134;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;275;684;142v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;298;685;168-172v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;312;686;183v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;317;687;188;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;324;688;191v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;354;689;217;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;400;690;242v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;459;691;279;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;501;692;296;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;558;693;335;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;564;694;337vo-339;Paris_AN_JJ_inventaire_Gascogne.xml
JJ78;565;695;339;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;566;696;340;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;585;697;355;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;605;698;368;Paris_AN_JJ_inventaire_Gascogne.xml
JJ75;607;699;371;Paris_AN_JJ_inventaire_Gascogne.xml
JJ76;34;700;32-33v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ76;43;701;38v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ76;100;702;74v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ76;119;703;88v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ76;120;704;89;Paris_AN_JJ_inventaire_Gascogne.xml
JJ76;128;705;M93vo;Paris_AN_JJ_inventaire_Gascogne.xml
