Paris_AN_JJ_inventaire_JJ81.xml_Register;Paris_AN_JJ_inventaire_JJ81.xml_Act_number;Paris_AN_JJ_inventaire_JJ81.xml_Head;Paris_AN_JJ_inventaire_JJ81.xml_Locus;Paris_AN_JJ_inventaire_JJ81.xml_File
JJ81;1;1;1r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;2;2;1r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;3;3;2r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;4;4;2v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;5;5;3r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;6;6;3v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;7;7;3v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;8;8;3v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;9;9;4v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;10;10;5r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;11;11;5v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;12;12;5v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;13;13;6r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;14;14;6v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;15;15;6v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;16;16;7r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;17;17;7r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;18;18;8r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;19;19;9r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;20;20;9r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;21;21;9r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;22;22;10r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;23;23;12r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;24;24;12v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;25;25;13r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;26;26;13r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;27;27;13v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;28;28;14r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;29;29;15r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;30;30;15v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;31;31;18v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;32;32;19r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;33;33;19r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;34;34;19v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;35;35;19v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;36;36;21r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;37;37;21r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;38;38;22r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;39;39;22r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;40;40;22v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;41;41;23r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;42;42;23r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;43;43;23r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;44;44;24r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;45;45;24v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;46;46;24v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;47;47;25r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;48;48;25r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;49;49;25v;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;50;50;26r;Paris_AN_JJ_inventaire_JJ81.xml
JJ81;51;51;26r;Paris_AN_JJ_inventaire_JJ81.xml
