Guerin_tome1-tome12.xml_Register;Guerin_tome1-tome12.xml_Act_number;Guerin_tome1-tome12.xml_Head;Guerin_tome1-tome12.xml_Locus;Guerin_tome1-tome12.xml_File
JJ164;168;DCCCCXLIV;fol 93 v°;Guerin_tome1-tome12.xml
JJ164;159;DCCCCXLV;fol 89 v°;Guerin_tome1-tome12.xml
JJ164;241;DCCCCXLVI;fol 132;Guerin_tome1-tome12.xml
JJ164;257;DCCCCXLVII;fol 139 v°;Guerin_tome1-tome12.xml
JJ164;292;DCCCCXLVIII;fol 153 v°;Guerin_tome1-tome12.xml
JJ164;300;DCCCCXLIX;fol 156;Guerin_tome1-tome12.xml
JJ165;115;DCCCCL;fol 72;Guerin_tome1-tome12.xml
JJ165;142;DCCCCLI;fol 88 v°;Guerin_tome1-tome12.xml
JJ165;177;DCCCCLII;fol 104 v°;Guerin_tome1-tome12.xml
JJ165;158;DCCCCLIII;fol 97 v°;Guerin_tome1-tome12.xml
JJ166;108;DCCCCLIV;fol 68 v°;Guerin_tome1-tome12.xml
JJ166;174;DCCCCLV;fol 115 v°;Guerin_tome1-tome12.xml
JJ166;233;DCCCCLVI;fol 153;Guerin_tome1-tome12.xml
JJ166;252;DCCCCLVII;fol 166;Guerin_tome1-tome12.xml
JJ166;359;DCCCCLVIII;fol 237 v°;Guerin_tome1-tome12.xml
JJ168;101;DCCCCLIX;fol 74;Guerin_tome1-tome12.xml
JJ167;58;DCCCCLX;p 90;Guerin_tome1-tome12.xml
JJ167;78;DCCCCLXI;p 114;Guerin_tome1-tome12.xml
JJ167;104;DCCCCLXII;p 153;Guerin_tome1-tome12.xml
JJ168;104;DCCCCLXIII;fol 76 v°;Guerin_tome1-tome12.xml
JJ167;317;DCCCCLXIV;p 458;Guerin_tome1-tome12.xml
JJ167;304;DCCCCLXV;p 438;Guerin_tome1-tome12.xml
JJ167;319;DCCCCLXVI;p 460;Guerin_tome1-tome12.xml
JJ167;346;DCCCCLXVII;p 500;Guerin_tome1-tome12.xml
JJ167;323;DCCCCLXVIII;p 466;Guerin_tome1-tome12.xml
JJ167;331;DCCCCLXIX;p 475;Guerin_tome1-tome12.xml
JJ167;335;DCCCCLXX;p 481;Guerin_tome1-tome12.xml
JJ167;473;DCCCCLXXI;p 639;Guerin_tome1-tome12.xml
JJ167;478;DCCCCLXXII;p 645;Guerin_tome1-tome12.xml
JJ167;482;DCCCCLXXIII;p 650;Guerin_tome1-tome12.xml
JJ169;33;DCCCCLXXIV;fol 23;Guerin_tome1-tome12.xml
JJ168;290;DCCCCLXXV;fol 190;Guerin_tome1-tome12.xml
JJ168;349;DCCCCLXXVI;fol 233 v°;Guerin_tome1-tome12.xml
JJ168;354;DCCCCLXXVII;fol 236 v°;Guerin_tome1-tome12.xml
JJ168;396;DCCCCLXXVIII;fol 263 v°;Guerin_tome1-tome12.xml
JJ169;69;DCCCCLXXIX;fol 50 v°;Guerin_tome1-tome12.xml
JJ169;157;DCCCCLXXX;fol 113 v°;Guerin_tome1-tome12.xml
JJ169;113;DCCCCLXXXI;fol 79;Guerin_tome1-tome12.xml
JJ169;371;DCCCCLXXXII;fol 248;Guerin_tome1-tome12.xml
JJ169;387;DCCCCLXXXIII;fol 258;Guerin_tome1-tome12.xml
JJ169;416;DCCCCLXXXIV;fol 278;Guerin_tome1-tome12.xml
JJ170;76;DCCCCLXXXV;fol 101;Guerin_tome1-tome12.xml
JJ170;54;DCCCCLXXXVI;fol 81;Guerin_tome1-tome12.xml
JJ170;73;DCCCCLXXXVII;fol 99;Guerin_tome1-tome12.xml
JJ170;83;DCCCCLXXXVIII;fol 105;Guerin_tome1-tome12.xml
JJ170;137;DCCCCLXXXIX;fol 143;Guerin_tome1-tome12.xml
JJ170;112;DCCCCXC;fol 126 v°;Guerin_tome1-tome12.xml
JJ170;132;DCCCCXCI;fol 139 v°;Guerin_tome1-tome12.xml
JJ171;29;DCCCCXCIII;fol 19;Guerin_tome1-tome12.xml
JJ171;154;DCCCCXCIV;fol 93 v°;Guerin_tome1-tome12.xml
JJ224;59;MI;fol 73;Guerin_tome1-tome12.xml
JJ232;94;MI;fol 36;Guerin_tome1-tome12.xml
JJ219;22;MVII;fol 14 v°;Guerin_tome1-tome12.xml
JJ199;252;MXII;fol 148;Guerin_tome1-tome12.xml
JJ199;252;MXIII;fol 145 v°-146 v°;Guerin_tome1-tome12.xml
JJ217;141;MXVII;fol 83 v°;Guerin_tome1-tome12.xml
JJ231;101;MXVII;fol 57;Guerin_tome1-tome12.xml
JJ213;52;MXX;fol 45;Guerin_tome1-tome12.xml
JJ173;716;MXXI;fol 346 v°;Guerin_tome1-tome12.xml
JJ174;40;MXXII;fol 14 v°;Guerin_tome1-tome12.xml
JJ174;24;MXXIII;fol 9 v°;Guerin_tome1-tome12.xml
JJ200;205;MXXVII;fol 109v;Guerin_tome1-tome12.xml
JJ211;478;MXXVII;106v;Guerin_tome1-tome12.xml
JJ177;209;MXXVIII;fol 139;Guerin_tome1-tome12.xml
JJ216;79;MXXIX;fol 64;Guerin_tome1-tome12.xml
JJ224;10;MXXIX;fol 11v;Guerin_tome1-tome12.xml
JJ199;252;MXXXII;fol 146 v°;Guerin_tome1-tome12.xml
JJ198;359;MXXXIII;fol 315 v°;Guerin_tome1-tome12.xml
JJ198;103;MXXXVI;fol 104;Guerin_tome1-tome12.xml
JJ210;81;MXXXVI;fol 52;Guerin_tome1-tome12.xml
JJ175;365;MXXXVII;fol 131 v°;Guerin_tome1-tome12.xml
JJ218;143;MXXXIX;fol 83;Guerin_tome1-tome12.xml
JJ199;252;MXLI;fol 147;Guerin_tome1-tome12.xml
JJ200;206;MXLII;fol 110;Guerin_tome1-tome12.xml
JJ211;401;MXLIII;fol 88 v°;Guerin_tome1-tome12.xml
JJ224;59;MXLIV;fol 73;Guerin_tome1-tome12.xml
JJ232;94;MXLIV;fol 36;Guerin_tome1-tome12.xml
JJ176;71;MXLV;fol 45;Guerin_tome1-tome12.xml
JJ200;204;MXLVI;fol 108v;Guerin_tome1-tome12.xml
JJ211;477;MXLVI;fol 106;Guerin_tome1-tome12.xml
JJ176;84;MXLVII;fol 50 v°;Guerin_tome1-tome12.xml
JJ176;59;MXLVIII;fol 41;Guerin_tome1-tome12.xml
JJ176;382;MXLIX;fol 268 v°;Guerin_tome1-tome12.xml
JJ176;385;ML;fol 270;Guerin_tome1-tome12.xml
JJ176;397;MLI;fol 274 v°;Guerin_tome1-tome12.xml
JJ176;400;MLII;fol 275 v°;Guerin_tome1-tome12.xml
JJ184;592;MLIII;fol 401;Guerin_tome1-tome12.xml
JJ176;260;MLIV;fol 205;Guerin_tome1-tome12.xml
JJ176;178;MLV;fol 121;Guerin_tome1-tome12.xml
JJ184;594;MLVI;fol 402;Guerin_tome1-tome12.xml
JJ184;598;MLVII;fol 405;Guerin_tome1-tome12.xml
JJ184;603 bis;MLVIII;fol 409;Guerin_tome1-tome12.xml
JJ184;604;MLIX;fol 409;Guerin_tome1-tome12.xml
JJ176;231;MLX;fol 179;Guerin_tome1-tome12.xml
JJ176;212;MLXI;fol 157 v°;Guerin_tome1-tome12.xml
JJ176;207;MLXII;fol 152;Guerin_tome1-tome12.xml
JJ176;210;MLXIII;fol 155;Guerin_tome1-tome12.xml
JJ176;211;MLXIV;fol 156 v°;Guerin_tome1-tome12.xml
JJ176;213;MLXV;fol 158 v°;Guerin_tome1-tome12.xml
JJ177;3;MLXVI;fol 1 v°;Guerin_tome1-tome12.xml
JJ177;4;MLXVII;fol 2;Guerin_tome1-tome12.xml
JJ176;142;MLXVIII;fol 85;Guerin_tome1-tome12.xml
JJ177;19;MLXIX;fol 10 v°;Guerin_tome1-tome12.xml
JJ176;356;MLXX;fol 259;Guerin_tome1-tome12.xml
JJ177;23;MLXXI;fol 12 v°;Guerin_tome1-tome12.xml
JJ177;26;MLXXII;fol 14;Guerin_tome1-tome12.xml
JJ177;147;MLXXIII;fol 97;Guerin_tome1-tome12.xml
JJ176;366;MLXXIV;fol 263;Guerin_tome1-tome12.xml
JJ176;372;MLXXV;fol 265 v°;Guerin_tome1-tome12.xml
JJ177;182;MLXXVI;fol 124 v°;Guerin_tome1-tome12.xml
JJ177;95;MLXXVII;fol 53;Guerin_tome1-tome12.xml
JJ177;106;MLXXVIII;fol 61;Guerin_tome1-tome12.xml
JJ177;112;MLXXIX;fol 65 v°;Guerin_tome1-tome12.xml
JJ177;118;MLXXX;fol 68 v°;Guerin_tome1-tome12.xml
JJ177;122;MLXXXI;fol 74;Guerin_tome1-tome12.xml
JJ177;133;MLXXXII;fol 88;Guerin_tome1-tome12.xml
JJ177;135;MLXXXIII;fol 90;Guerin_tome1-tome12.xml
JJ177;137;MLXXXIV;fol 91 v°;Guerin_tome1-tome12.xml
JJ177;159;MLXXXV;fol 106 v°;Guerin_tome1-tome12.xml
JJ177;170;MLXXXVI;fol 113 v°;Guerin_tome1-tome12.xml
JJ177;173;MLXXXVII;fol 115 v°;Guerin_tome1-tome12.xml
JJ176;433;MLXXXVIII;fol 288;Guerin_tome1-tome12.xml
JJ177;178bis;MLXXXIX;fol 119 v°;Guerin_tome1-tome12.xml
JJ177;180;MXC;fol 122;Guerin_tome1-tome12.xml
JJ177;184;MXCI;fol 125 v°;Guerin_tome1-tome12.xml
JJ177;185;MXCII;fol 126;Guerin_tome1-tome12.xml
JJ177;186;MXCIII;fol 126 v°;Guerin_tome1-tome12.xml
JJ177;188;MXCIV;fol 128;Guerin_tome1-tome12.xml
JJ177;190;MXCV;fol 129 v°;Guerin_tome1-tome12.xml
JJ177;196;MXCVI;fol 132 v°;Guerin_tome1-tome12.xml
JJ177;242;MXCVII;fol 161 v°;Guerin_tome1-tome12.xml
JJ177;245;MXCVIII;fol 163;Guerin_tome1-tome12.xml
JJ178;64;MXCIX;fol 40 v°;Guerin_tome1-tome12.xml
JJ178;129;MC;fol 80 v°;Guerin_tome1-tome12.xml
JJ179;202;MCI;fol 113 v°;Guerin_tome1-tome12.xml
JJ177;198;MCII;fol 134;Guerin_tome1-tome12.xml
JJ177;204;MCIII;fol 136 v°;Guerin_tome1-tome12.xml
JJ177;205;MCIV;fol 137;Guerin_tome1-tome12.xml
JJ177;213;MCV;fol 141 v°;Guerin_tome1-tome12.xml
JJ177;216;MCVI;fol 143 v°;Guerin_tome1-tome12.xml
JJ177;217;MCVII;fol 144;Guerin_tome1-tome12.xml
JJ177;220;MCVIII;fol 145 v°;Guerin_tome1-tome12.xml
JJ177;224;MCIX;fol 148 v°;Guerin_tome1-tome12.xml
JJ177;238;MCX;fol 157;Guerin_tome1-tome12.xml
JJ178;14;MCXI;fol 9;Guerin_tome1-tome12.xml
JJ178;24;MCXII;fol 16 v°;Guerin_tome1-tome12.xml
JJ178;93;MCXIII;fol 61;Guerin_tome1-tome12.xml
JJ178;105;MCXIV;fol 69;Guerin_tome1-tome12.xml
JJ177;211;MCXV;fol 140 v°;Guerin_tome1-tome12.xml
JJ177;208;MCXVI;fol 138 v°;Guerin_tome1-tome12.xml
JJ177;219;MCXVII;fol 145;Guerin_tome1-tome12.xml
JJ177;226;MCXVIII;fol 149 v°;Guerin_tome1-tome12.xml
JJ178;95;MCXIX;fol 62;Guerin_tome1-tome12.xml
JJ176;436;MCXX;fol 289;Guerin_tome1-tome12.xml
JJ178;21;MCXXI;fol 13;Guerin_tome1-tome12.xml
JJ178;18;MCXXII;fol 11 v°;Guerin_tome1-tome12.xml
JJ178;37;MCXXIII;fol 25;Guerin_tome1-tome12.xml
JJ178;45;MCXXIV;fol 29 v°;Guerin_tome1-tome12.xml
JJ178;50;MCXXV;fol 32;Guerin_tome1-tome12.xml
JJ178;51;MCXXVI;fol 32 v°;Guerin_tome1-tome12.xml
JJ178;57;MCXXVII;fol 56;Guerin_tome1-tome12.xml
JJ178;185;MCXXVIII;fol 108 v°;Guerin_tome1-tome12.xml
JJ178;111;MCXXIX;fol 72;Guerin_tome1-tome12.xml
JJ178;132;MCXXX;fol 82;Guerin_tome1-tome12.xml
JJ178;194;MCXXXI;fol 113;Guerin_tome1-tome12.xml
JJ178;134;MCXXXII;fol 83;Guerin_tome1-tome12.xml
JJ178;147;MCXXXIII;fol 88 v°;Guerin_tome1-tome12.xml
JJ178;148;MCXXXIV;fol 89;Guerin_tome1-tome12.xml
JJ178;159;MCXXXV;fol 94;Guerin_tome1-tome12.xml
JJ178;166;MCXXXVI;fol 98;Guerin_tome1-tome12.xml
JJ178;178;MCXXXVII;fol 103 v°;Guerin_tome1-tome12.xml
JJ179;39;MCXXXVIII;fol 17;Guerin_tome1-tome12.xml
JJ178;206;MCXXXIX;fol 118 v°;Guerin_tome1-tome12.xml
JJ178;209;MCXL;fol 120 v°;Guerin_tome1-tome12.xml
JJ178;188;MCXLI;fol 110;Guerin_tome1-tome12.xml
JJ178;192;MCXLII;fol 112;Guerin_tome1-tome12.xml
JJ179;8;MCXLIII;fol 4;Guerin_tome1-tome12.xml
JJ178;236;MCXLIV;fol 134 v°;Guerin_tome1-tome12.xml
JJ178;241;MCXLV;fol 137;Guerin_tome1-tome12.xml
JJ185;138;MCXLVI;fol 104;Guerin_tome1-tome12.xml
JJ187;286;MCXLVII;fol 153;Guerin_tome1-tome12.xml
JJ179;19;MCXLVIII;fol 10 v°;Guerin_tome1-tome12.xml
JJ179;21;MCXLIX;fol 11;Guerin_tome1-tome12.xml
JJ179;46;MCL;fol 23 v°;Guerin_tome1-tome12.xml
JJ179;50;MCLI;fol 25 v°;Guerin_tome1-tome12.xml
JJ179;56;MCLII;fol 28 v°;Guerin_tome1-tome12.xml
JJ179;78;MCLIII;fol 42 v°;Guerin_tome1-tome12.xml
JJ224;94;MCLIV;fol 84 v°;Guerin_tome1-tome12.xml
JJ179;101;MCLV;fol 54;Guerin_tome1-tome12.xml
JJ224;97;MCLVI;fol 85 v°;Guerin_tome1-tome12.xml
JJ179;120;MCLVII;fol 63;Guerin_tome1-tome12.xml
JJ179;214;MCLVIII;fol 121;Guerin_tome1-tome12.xml
JJ179;226;MCLIX;fol 127;Guerin_tome1-tome12.xml
JJ179;222;MCLX;fol 125;Guerin_tome1-tome12.xml
JJ179;130;MCLXI;fol 68;Guerin_tome1-tome12.xml
JJ179;132;MCLXII;fol 69;Guerin_tome1-tome12.xml
JJ179;138;MCLXIII;fol 73;Guerin_tome1-tome12.xml
JJ179;235;MCLXIV;fol 133 v°;Guerin_tome1-tome12.xml
JJ179;236;MCLXV;fol 134 v°;Guerin_tome1-tome12.xml
JJ179;183;MCLXVI;fol 102;Guerin_tome1-tome12.xml
JJ179;255;MCLXVII;fol 147 v°;Guerin_tome1-tome12.xml
JJ179;254;MCLXVIII;fol 147;Guerin_tome1-tome12.xml
JJ179;192;MCLXIX;fol 106 v°;Guerin_tome1-tome12.xml
JJ179;203;MCLXX;fol 115;Guerin_tome1-tome12.xml
JJ179;167;MCLXXI;fol 92 v°;Guerin_tome1-tome12.xml
JJ179;209;MCLXXII;fol 118 v°;Guerin_tome1-tome12.xml
JJ179;266;MCLXXIII;fol 154;Guerin_tome1-tome12.xml
JJ179;272;MCLXXIV;fol 157 v°;Guerin_tome1-tome12.xml
JJ179;273;MCLXXV;fol 158;Guerin_tome1-tome12.xml
JJ179;297;MCLXXVI;fol 169 v°;Guerin_tome1-tome12.xml
JJ179;300;MCLXXVII;fol 171 v°;Guerin_tome1-tome12.xml
JJ224;134;MCLXXVIII;fol 117 v°;Guerin_tome1-tome12.xml
JJ179;316;MCLXXIX;fol 180;Guerin_tome1-tome12.xml
JJ179;327;MCLXXX;fol 186 v°;Guerin_tome1-tome12.xml
JJ179;336;MCLXXXI;fol 191;Guerin_tome1-tome12.xml
JJ179;341;MCLXXXII;fol 193;Guerin_tome1-tome12.xml
JJ180;16;MCLXXXIII;fol 7;Guerin_tome1-tome12.xml
JJ184;21;MCLXXXIV;fol 13;Guerin_tome1-tome12.xml
JJ180;52;MCLXXXV;fol 23 v°;Guerin_tome1-tome12.xml
JJ186;33;MCLXXXVI;fol 17;Guerin_tome1-tome12.xml
JJ186;78;MCLXXXVII;fol 46 v°;Guerin_tome1-tome12.xml
JJ180;77;MCLXXXVIII;fol 34 v°;Guerin_tome1-tome12.xml
JJ180;93;MCLXXXIX;fol 41 v°;Guerin_tome1-tome12.xml
JJ185;242;MCXC;fol 173;Guerin_tome1-tome12.xml
JJ180;109;MCXCI;fol 49;Guerin_tome1-tome12.xml
JJ186;7;MCXCII;fol 4;Guerin_tome1-tome12.xml
JJ186;31;MCXCIII;fol 16;Guerin_tome1-tome12.xml
JJ186;15;MCXCIV;fol 8;Guerin_tome1-tome12.xml
JJ186;83;MCXCV;fol 49;Guerin_tome1-tome12.xml
JJ186;43;MCXCVI;fol 25 v°;Guerin_tome1-tome12.xml
JJ186;57;MCXCVII;fol 36 v°;Guerin_tome1-tome12.xml
JJ185;2;MCXCVIII;fol 1 v°;Guerin_tome1-tome12.xml
JJ185;28;MCXCIX;fol 22 v°;Guerin_tome1-tome12.xml
JJ185;34;MCC;fol 28;Guerin_tome1-tome12.xml
JJ185;53;MCCI;fol 43;Guerin_tome1-tome12.xml
JJ184;96;MCCII;fol 60;Guerin_tome1-tome12.xml
JJ184;287;MCCIII;fol 195 v°;Guerin_tome1-tome12.xml
JJ185;105;MCCIV;fol 81 v°;Guerin_tome1-tome12.xml
JJ185;117;MCCV;fol 89 v°;Guerin_tome1-tome12.xml
JJ185;231;MCCVI;fol 166 v°;Guerin_tome1-tome12.xml
JJ185;129;MCCVII;fol 98 v°;Guerin_tome1-tome12.xml
JJ185;143;MCCVIII;fol 109 v°;Guerin_tome1-tome12.xml
JJ185;149;MCCIX;fol 114;Guerin_tome1-tome12.xml
JJ185;186;MCCX;fol 141 v°;Guerin_tome1-tome12.xml
JJ185;236;MCCXI;fol 199;Guerin_tome1-tome12.xml
JJ185;249;MCCXII;fol 177;Guerin_tome1-tome12.xml
JJ181;4;MCCXIII;fol 2;Guerin_tome1-tome12.xml
JJ185;244;MCCXIV;fol 174 v°;Guerin_tome1-tome12.xml
JJ185;242;MCCXV;fol 173;Guerin_tome1-tome12.xml
JJ185;251;MCCXVI;fol 178;Guerin_tome1-tome12.xml
JJ185;257;MCCXVII;fol 182;Guerin_tome1-tome12.xml
JJ185;265;MCCXVIII;fol 186;Guerin_tome1-tome12.xml
JJ185;285;MCCXIX;fol 199 v°;Guerin_tome1-tome12.xml
JJ181;21;MCCXX;fol 11;Guerin_tome1-tome12.xml
JJ181;16;MCCXXI;fol 9;Guerin_tome1-tome12.xml
JJ181;26;MCCXXII;fol 13 v°;Guerin_tome1-tome12.xml
JJ181;39;MCCXXIII;fol 21 v°;Guerin_tome1-tome12.xml
JJ181;77;MCCXXIV;fol 41;Guerin_tome1-tome12.xml
JJ181;119;MCCXXV;fol 66;Guerin_tome1-tome12.xml
JJ181;159;MCCXXVI;fol 99;Guerin_tome1-tome12.xml
JJ181;158;MCCXXVII;fol 98 v°;Guerin_tome1-tome12.xml
JJ184;230;MCCXXVIII;fol 154;Guerin_tome1-tome12.xml
JJ181;190;MCCXXIX;fol 118;Guerin_tome1-tome12.xml
JJ184;287;MCCXXX;fol 195 v°;Guerin_tome1-tome12.xml
JJ181;237;MCCXXXI;fol 146;Guerin_tome1-tome12.xml
JJ181;279;MCCXXXII;fol 173;Guerin_tome1-tome12.xml
JJ184;306;MCCXXXIII;fol 211 v°;Guerin_tome1-tome12.xml
JJ185;295;MCCXXXIV;fol 204;Guerin_tome1-tome12.xml
JJ185;297;MCCXXXV;fol 206;Guerin_tome1-tome12.xml
JJ185;298;MCCXXXVI;fol 206 v°;Guerin_tome1-tome12.xml
JJ182;99;MCCXXXVII;fol 57 v°;Guerin_tome1-tome12.xml
JJ185;305;MCCXXXVIII;fol 211 v°;Guerin_tome1-tome12.xml
JJ185;307;MCCXXXIX;fol 212 v°;Guerin_tome1-tome12.xml
JJ184;279;MCCXL;fol 188;Guerin_tome1-tome12.xml
JJ182;135;MCCXLI;fol 73 v°;Guerin_tome1-tome12.xml
JJ182;136;MCCXLII;fol 74 v°;Guerin_tome1-tome12.xml
JJ182;7;MCCXLIII;fol 3 v°;Guerin_tome1-tome12.xml
JJ182;23;MCCXLIV;fol 12 v°;Guerin_tome1-tome12.xml
JJ182;40;MCCXLV;fol 22 v°;Guerin_tome1-tome12.xml
JJ184;397;MCCXLVI;fol 291 v°;Guerin_tome1-tome12.xml
JJ182;43;MCCXLVII;fol 25 v°;Guerin_tome1-tome12.xml
JJ182;53;MCCXLVIII;fol 32;Guerin_tome1-tome12.xml
JJ182;61;MCCXLIX;fol 37;Guerin_tome1-tome12.xml
JJ191;72;MCCL;fol 38 v°;Guerin_tome1-tome12.xml
JJ182;97;MCCLI;fol 52;Guerin_tome1-tome12.xml
JJ182;110;MCCLII;fol 62;Guerin_tome1-tome12.xml
JJ182;114;MCCLIII;fol 63;Guerin_tome1-tome12.xml
JJ191;14;MCCLIV;fol 6;Guerin_tome1-tome12.xml
JJ191;41;MCCLV;fol 19 v°;Guerin_tome1-tome12.xml
JJ191;42;MCCLVI;fol 20 v°;Guerin_tome1-tome12.xml
JJ191;62;MCCLVII;fol 33;Guerin_tome1-tome12.xml
JJ191;60;MCCLVIII;fol 32;Guerin_tome1-tome12.xml
JJ191;71;MCCLIX;fol 38;Guerin_tome1-tome12.xml
JJ191;131;MCCLX;fol 70;Guerin_tome1-tome12.xml
JJ191;149;MCCLXI;fol 79 v°;Guerin_tome1-tome12.xml
JJ191;123;MCCLXII;fol 65;Guerin_tome1-tome12.xml
JJ191;139;MCCLXIII;fol 74;Guerin_tome1-tome12.xml
JJ187;153;MCCLXIV;fol 78 v°;Guerin_tome1-tome12.xml
JJ189;64;MCCLXV;fol 31 v°;Guerin_tome1-tome12.xml
JJ189;29;MCCLXVI;fol 19 v°;Guerin_tome1-tome12.xml
JJ187;3;MCCLXVII;fol 2 v°;Guerin_tome1-tome12.xml
JJ183;115;MCCLXVIII;fol86v;Guerin_tome1-tome12.xml
JJ189;47;MCCLXIX;fol25v;Guerin_tome1-tome12.xml
JJ187;224;MCCLXX;fol120;Guerin_tome1-tome12.xml
JJ187;207;MCCLXXI;fol110;Guerin_tome1-tome12.xml
JJ187;208;MCCLXXII;fol110v;Guerin_tome1-tome12.xml
JJ187;271;MCCLXXIII;fol145;Guerin_tome1-tome12.xml
JJ191;261;MCCLXXIV;fol140v;Guerin_tome1-tome12.xml
JJ187;274;MCCLXXV;fol146v;Guerin_tome1-tome12.xml
JJ187;31;MCCLXXVI;fol19;Guerin_tome1-tome12.xml
JJ187;33;MCCLXXVII;fol20;Guerin_tome1-tome12.xml
JJ189;169;MCCLXXVIII;fol80;Guerin_tome1-tome12.xml
JJ187;54;MCCLXXIX;fol30;Guerin_tome1-tome12.xml
JJ18b;334;MCCLXXX;fol227;Guerin_tome1-tome12.xml
JJ189;199;MCCLXXXI;fol96v;Guerin_tome1-tome12.xml
JJ189;210;MCCLXXXII;fol102v;Guerin_tome1-tome12.xml
JJ187;331;MCCLXXXIII;fol178v;Guerin_tome1-tome12.xml
JJ189;140;MCCLXXXIV;fol65;Guerin_tome1-tome12.xml
JJ189;157;MCCLXXXV;fol73;Guerin_tome1-tome12.xml
JJ185;322;MCCLXXXVI;fol119v;Guerin_tome1-tome12.xml
JJ187;173;MCCLXXXVII;fol89v;Guerin_tome1-tome12.xml
JJ187;174;MCCLXXXVIII;fol90;Guerin_tome1-tome12.xml
JJ187;348;MCCLXXXIX;fol188;Guerin_tome1-tome12.xml
JJ187;349;MCCXC;fol188;Guerin_tome1-tome12.xml
JJ187;180;MCCXCI;fol93v;Guerin_tome1-tome12.xml
JJ187;247;MCCXCII;fol132;Guerin_tome1-tome12.xml
JJ188;98;MCCXCIII;fol50v;Guerin_tome1-tome12.xml
JJ188;86;MCCXCIV;fol40v;Guerin_tome1-tome12.xml
JJ188;3;MCCXCV;fol1v;Guerin_tome1-tome12.xml
JJ188;6;MCCXCVI;fol3v;Guerin_tome1-tome12.xml
JJ188;15;MCCXCVII;fol10;Guerin_tome1-tome12.xml
JJ188;37;MCCXCVIII;fol20;Guerin_tome1-tome12.xml
JJ188;39;MCCXCIX;fol20v;Guerin_tome1-tome12.xml
JJ188;48;MCCC;fol25v;Guerin_tome1-tome12.xml
JJ188;52;MCCCI;fol27;Guerin_tome1-tome12.xml
JJ188;60;MCCCII;fol30v;Guerin_tome1-tome12.xml
JJ188;70;MCCCIII;fol35;Guerin_tome1-tome12.xml
JJ188;62;MCCCIV;fol31v;Guerin_tome1-tome12.xml
JJ188;76;MCCCV;fol36v;Guerin_tome1-tome12.xml
JJ188;108;MCCCVI;fol54;Guerin_tome1-tome12.xml
JJ188;87;MCCCVII;fol41;Guerin_tome1-tome12.xml
JJ188;88;MCCCVIII;fol42;Guerin_tome1-tome12.xml
JJ188;89;MCCCIX;fol43v;Guerin_tome1-tome12.xml
JJ188;90;MCCCX;fol44v;Guerin_tome1-tome12.xml
JJ188;93;MCCCXI;fol46v;Guerin_tome1-tome12.xml
JJ188;94;MCCCXII;fol47v;Guerin_tome1-tome12.xml
JJ188;118;MCCCXIII;fol57;Guerin_tome1-tome12.xml
JJ188;119;MCCCXIV;fol57v;Guerin_tome1-tome12.xml
JJ188;111;MCCCXV;fol55;Guerin_tome1-tome12.xml
JJ188;127;MCCCXVI;fol62;Guerin_tome1-tome12.xml
JJ188;144;MCCCXVII;fol71;Guerin_tome1-tome12.xml
JJ188;150;MCCCXVIII;fol74v;Guerin_tome1-tome12.xml
JJ188;157;MCCCXIX;fol78;Guerin_tome1-tome12.xml
JJ188;166;MCCCXX;fol83;Guerin_tome1-tome12.xml
JJ188;167;MCCCXXI;fol84v;Guerin_tome1-tome12.xml
JJ188;177;MCCCXXII;fol88v;Guerin_tome1-tome12.xml
JJ188;187;MCCCXXIII;fol94;Guerin_tome1-tome12.xml
JJ188;196;MCCCXXIV;fol99;Guerin_tome1-tome12.xml
JJ188;206;MCCCXXV;fol103v;Guerin_tome1-tome12.xml
JJ188;208;MCCCXXVI;fol104v;Guerin_tome1-tome12.xml
JJ188;211;MCCCXXVII;fol105v;Guerin_tome1-tome12.xml
JJ190;17;MCCCXXVIII;fol9;Guerin_tome1-tome12.xml
JJ190;18;MCCCXXIX;fol10v;Guerin_tome1-tome12.xml
JJ190;24;MCCCXXX;fol14;Guerin_tome1-tome12.xml
JJ190;26;MCCCXXXI;fol15;Guerin_tome1-tome12.xml
JJ190;54;MCCCXXXII;fol28;Guerin_tome1-tome12.xml
JJ190;41;MCCCXXXIII;fol22;Guerin_tome1-tome12.xml
JJ190;51;MCCCXXXIV;fol27;Guerin_tome1-tome12.xml
JJ190;62;MCCCXXXV;fol32;Guerin_tome1-tome12.xml
JJ190;107;MCCCXXXVI;fol57;Guerin_tome1-tome12.xml
JJ190;132;MCCCXXXVII;fol71;Guerin_tome1-tome12.xml
JJ190;134;MCCCXXXVIII;fol72v;Guerin_tome1-tome12.xml
JJ190;162;MCCCXXXIX;fol87;Guerin_tome1-tome12.xml
JJ190;190;MCCCXL;fol105;Guerin_tome1-tome12.xml
JJ190;202;MCCCXLI;fol110v;Guerin_tome1-tome12.xml
JJ189;477;MCCCXLII;fol267;Guerin_tome1-tome12.xml
JJ189;500;MCCCXLIII;fol282;Guerin_tome1-tome12.xml
JJ192;69;MCCCXLIV;fol49;Guerin_tome1-tome12.xml
JJ192;10;MCCCXLV;fol5v;Guerin_tome1-tome12.xml
JJ192;6;MCCCXLVI;fol3;Guerin_tome1-tome12.xml
JJ192;5;MCCCXLVII;fol2v;Guerin_tome1-tome12.xml
JJ192;27;MCCCXLVIII;fol20;Guerin_tome1-tome12.xml
JJ198;103;MCCCXLIX;fol104;Guerin_tome1-tome12.xml
