Paris_AN_JJ_inventaire_JJ82.xml_Register;Paris_AN_JJ_inventaire_JJ82.xml_Act_number;Paris_AN_JJ_inventaire_JJ82.xml_Head;Paris_AN_JJ_inventaire_JJ82.xml_Locus;Paris_AN_JJ_inventaire_JJ82.xml_File
JJ82;125;125;83v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;126;126;84r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;127;127;85r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;128;128;85r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;129;129;85v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;130;130;86v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;131;131;89r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;132;132;90r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;133;133;90r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;134;134;90v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;135;135;91v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;136;136;92r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;137;137;93r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;138;138;93v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;139;139;94r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;140;140;94r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;141;141;95r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;142;142;95v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;143;143;96v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;144;144;97r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;145;145;97v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;146;146;97v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;147;147;97v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;148;148;98r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;149;149;98v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;"149
bis";149bis;99r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;150;150;99r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;151;151;100r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;152;152;100v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;153;153;100v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;154;154;101v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;155;155;102v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;156;156;102v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;157;157;103r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;158;158;103r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;"158
bis";158bis;103v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;159;159;104r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;160;160;104v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;161;161;106v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;162;162;107v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;163;163;110r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;164;164;110v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;165;165;111r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;166;166;111v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;167;167;114r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;168;168;115r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;169;169;116r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;170;170;116r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;171;171;117v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;172;172;117v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;173;173;118v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;174;174;119v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;175;175;119v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;176;176;120r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;"176
bis";176bis;120v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;177;177;121r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;179;179;121v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;180;180;122r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;181;181;122v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;182;182;122v;Paris_AN_JJ_inventaire_JJ82.xml
