Paris_AN_JJ_inventaire_JJ37-50.xml_Register;Paris_AN_JJ_inventaire_JJ37-50.xml_Act_number;Paris_AN_JJ_inventaire_JJ37-50.xml_Head;Paris_AN_JJ_inventaire_JJ37-50.xml_Locus;Paris_AN_JJ_inventaire_JJ37-50.xml_File
JJ37;67;68;24v-25;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;68;69;25r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;69;70;25r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;70;71;25v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;71;72;25v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;72;73;25v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;73;74;25v-26;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;74;75;26r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;75;76;26r-27;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;76;77;27v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;77;78;27v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;78;79;27v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;79;80;28r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;80;81;28r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;81;82;28r-28v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;82;83;28v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;83;84;28v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;84;85;28v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;85;86;28v-29;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;86;87;29r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;87;88;29r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;88;89;29r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;89;90;29r-29v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;90;91;29v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;91;92;29v-30;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;92;93;30r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;93;94;30r-30v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;94;95;30v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;95;96;30v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;96;97;30v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;97;98;30v-31;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;98;99;31r-32;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;1;100;1r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;2;101;1v-2v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;3;102;3r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;4;103;3v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;5;104;4r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;6;105;4v-5;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;7;106;5r-9v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;8;107;9v-10;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;9;108;10r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;10;109;10v-11v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;11;110;11v-12;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;12;111;12r-12v;Paris_AN_JJ_inventaire_JJ37-50.xml
