Paris_AN_JJ_inventaire_Rouergue.xml_Register;Paris_AN_JJ_inventaire_Rouergue.xml_Act_number;Paris_AN_JJ_inventaire_Rouergue.xml_Head;Paris_AN_JJ_inventaire_Rouergue.xml_Locus;Paris_AN_JJ_inventaire_Rouergue.xml_File
JJ137;92;375;91v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ137;93;376;91v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ137;94;377;92;Paris_AN_JJ_inventaire_Rouergue.xml
JJ140;299;378;p351;Paris_AN_JJ_inventaire_Rouergue.xml
JJ140;304;379;p356;Paris_AN_JJ_inventaire_Rouergue.xml
JJ143;42;380;24;Paris_AN_JJ_inventaire_Rouergue.xml
JJ143;242;381;126v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ143;276;382;150v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ144;369;383;218v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ144;431;384;250;Paris_AN_JJ_inventaire_Rouergue.xml
JJ145;363;385;159;Paris_AN_JJ_inventaire_Rouergue.xml
JJ145;522;386;242;Paris_AN_JJ_inventaire_Rouergue.xml
JJ145;528;387;246;Paris_AN_JJ_inventaire_Rouergue.xml
JJ147;245;388;112;Paris_AN_JJ_inventaire_Rouergue.xml
JJ147;309;389;140v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ148;190;390;95v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ150;329;391;156;Paris_AN_JJ_inventaire_Rouergue.xml
JJ151;71;392;33;Paris_AN_JJ_inventaire_Rouergue.xml
JJ152;58;393;35v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ152;108;394;62v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ152;182;395;101;Paris_AN_JJ_inventaire_Rouergue.xml
JJ153;283;396;184v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ156;203;397;128;Paris_AN_JJ_inventaire_Rouergue.xml
JJ156;312;398;195;Paris_AN_JJ_inventaire_Rouergue.xml
JJ156;329;399;204;Paris_AN_JJ_inventaire_Rouergue.xml
JJ157;284;400;175;Paris_AN_JJ_inventaire_Rouergue.xml
JJ158;28;401;15v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ158;118;402;67;Paris_AN_JJ_inventaire_Rouergue.xml
JJ158;268,rectifién°247;403;137v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ159;241;404;146v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ159;297;405;173;Paris_AN_JJ_inventaire_Rouergue.xml
JJ162;194,rectifié215;406;164-168;Paris_AN_JJ_inventaire_Rouergue.xml
JJ163;223;407;122;Paris_AN_JJ_inventaire_Rouergue.xml
JJ163;436;408;248;Paris_AN_JJ_inventaire_Rouergue.xml
JJ164;162,rectifié165;409;91;Paris_AN_JJ_inventaire_Rouergue.xml
JJ166;424;410;263v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ168;165;411;114;Paris_AN_JJ_inventaire_Rouergue.xml
JJ168;265;412;172;Paris_AN_JJ_inventaire_Rouergue.xml
JJ168;312;413;204;Paris_AN_JJ_inventaire_Rouergue.xml
JJ169;78;414;57;Paris_AN_JJ_inventaire_Rouergue.xml
JJ169;292;415;206v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ176;156;416;103v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ176;217;417;163v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ176;437;418;289v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ176;544;419;331v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ177;97;420;54v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ177;104;421;59;Paris_AN_JJ_inventaire_Rouergue.xml
JJ177;202;422;135v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ177;222;423;146v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ178;9;424;6v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ178;85;425;52;Paris_AN_JJ_inventaire_Rouergue.xml
JJ178;153;426;91v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ178;167;427;98v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ178;201;428;115v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;33;429;14v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;74;430;40v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;107;431;56v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;112;432;59v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;128;433;67v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;233;434;132v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ179;326;435;186;Paris_AN_JJ_inventaire_Rouergue.xml
JJ180;63;436;28;Paris_AN_JJ_inventaire_Rouergue.xml
JJ181;1;437;1;Paris_AN_JJ_inventaire_Rouergue.xml
JJ181;36;438;21;Paris_AN_JJ_inventaire_Rouergue.xml
JJ181;180;439;112;Paris_AN_JJ_inventaire_Rouergue.xml
JJ182;92;440;54;Paris_AN_JJ_inventaire_Rouergue.xml
JJ184;603;441;408v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ185;228;442;165;Paris_AN_JJ_inventaire_Rouergue.xml
JJ187;134;443;69v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ187;192;444;101v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ187;197;445;104;Paris_AN_JJ_inventaire_Rouergue.xml
JJ187;218;446;115v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ187;244;447;130v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ188;34;448;19;Paris_AN_JJ_inventaire_Rouergue.xml
JJ188;36;449;20;Paris_AN_JJ_inventaire_Rouergue.xml
JJ188;148;450;73;Paris_AN_JJ_inventaire_Rouergue.xml
JJ189;35;451;22;Paris_AN_JJ_inventaire_Rouergue.xml
JJ190;40;452;21v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ190;84;453;45;Paris_AN_JJ_inventaire_Rouergue.xml
JJ190;87;454;47;Paris_AN_JJ_inventaire_Rouergue.xml
JJ190;103;455;55v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ190;110;456;58v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ190;214;457;117;Paris_AN_JJ_inventaire_Rouergue.xml
JJ191;21;458;8;Paris_AN_JJ_inventaire_Rouergue.xml
JJ191;135;459;72;Paris_AN_JJ_inventaire_Rouergue.xml
JJ191;206;460;110v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ192;12;461;8;Paris_AN_JJ_inventaire_Rouergue.xml
JJ192;20;462;15;Paris_AN_JJ_inventaire_Rouergue.xml
JJ194;162;463;88v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ194;255;464;142;Paris_AN_JJ_inventaire_Rouergue.xml
JJ194;264;465;146v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ195;467;466;125v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ195;468;467;126;Paris_AN_JJ_inventaire_Rouergue.xml
JJ195;496;468;133;Paris_AN_JJ_inventaire_Rouergue.xml
JJ195;1090;469;248;Paris_AN_JJ_inventaire_Rouergue.xml
JJ195;1309;470;287v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;51;471;32;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;74;472;47v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;87;473;53v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;122;474;70;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;277;475;170;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;316;476;196;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;327;477;206;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;328;478;206v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;347;479;226;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;348;480;226v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ196;367;481;237v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ197;60;482;39;Paris_AN_JJ_inventaire_Rouergue.xml
JJ197;216;483;121;Paris_AN_JJ_inventaire_Rouergue.xml
JJ197;231;484;128;Paris_AN_JJ_inventaire_Rouergue.xml
JJ197;272;485;146v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ197;306;486;165;Paris_AN_JJ_inventaire_Rouergue.xml
JJ197;372;487;199;Paris_AN_JJ_inventaire_Rouergue.xml
JJ198;70;488;69;Paris_AN_JJ_inventaire_Rouergue.xml
JJ198;206;489;191v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ199;305;490;180;Paris_AN_JJ_inventaire_Rouergue.xml
JJ199;328;491;192v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ199;534;492;335v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ200;201;493;107;Paris_AN_JJ_inventaire_Rouergue.xml
JJ203;28;494;16;Paris_AN_JJ_inventaire_Rouergue.xml
JJ203;44;495;24v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ204;144;496;88;Paris_AN_JJ_inventaire_Rouergue.xml
JJ204;150;497;92;Paris_AN_JJ_inventaire_Rouergue.xml
JJ204;152;498;94;Paris_AN_JJ_inventaire_Rouergue.xml
JJ204;169;499;105v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ205;51;500;25;Paris_AN_JJ_inventaire_Rouergue.xml
JJ205;170;501;92;Paris_AN_JJ_inventaire_Rouergue.xml
JJ205;249;502;139v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ205;267;503;149;Paris_AN_JJ_inventaire_Rouergue.xml
JJ206;543;504;125;Paris_AN_JJ_inventaire_Rouergue.xml
JJ206;573;505;132;Paris_AN_JJ_inventaire_Rouergue.xml
JJ207;201;506;94;Paris_AN_JJ_inventaire_Rouergue.xml
JJ208;103;507;57ro-63ro;Paris_AN_JJ_inventaire_Rouergue.xml
JJ209;103;508;60v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ209;266;509;147v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ210;48;510;29;Paris_AN_JJ_inventaire_Rouergue.xml
JJ210;49;511;29;Paris_AN_JJ_inventaire_Rouergue.xml
JJ210;177;512;149;Paris_AN_JJ_inventaire_Rouergue.xml
JJ210;232;513;181;Paris_AN_JJ_inventaire_Rouergue.xml
JJ210;260;514;200v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ211;106;515;34v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ211;146;516;41;Paris_AN_JJ_inventaire_Rouergue.xml
JJ214;48;517;31v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ214;50;518;32;Paris_AN_JJ_inventaire_Rouergue.xml
JJ215;10;519;7;Paris_AN_JJ_inventaire_Rouergue.xml
JJ215;83;520;63v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ216;55;521;48;Paris_AN_JJ_inventaire_Rouergue.xml
JJ216;96;522;77;Paris_AN_JJ_inventaire_Rouergue.xml
JJ216;106;523;83;Paris_AN_JJ_inventaire_Rouergue.xml
JJ217;37;524;18;Paris_AN_JJ_inventaire_Rouergue.xml
JJ217;47;525;21v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ217;64;526;32v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ218;169;527;98v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ219;67;528;43;Paris_AN_JJ_inventaire_Rouergue.xml
JJ219;118;529;74;Paris_AN_JJ_inventaire_Rouergue.xml
JJ220;103;530;58;Paris_AN_JJ_inventaire_Rouergue.xml
JJ220;330;531;183;Paris_AN_JJ_inventaire_Rouergue.xml
JJ221;241;532;140v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ222;225;533;99;Paris_AN_JJ_inventaire_Rouergue.xml
JJ222;269;534;124;Paris_AN_JJ_inventaire_Rouergue.xml
JJ223;64;535;36v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ224;123;536;111v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ225;1338;537;250v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ225;1438;538;270;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;102;539;55v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;113;540;65v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;155;541;92;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;196;542;118v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;211;543;127;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;239;544;141;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;292;545;168v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;320;546;184;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;405;547;223v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;414;548;251v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;421;549;257;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;423;550;258v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226A;486;551;309v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226B;113;552;24v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ226B;386;553;75;Paris_AN_JJ_inventaire_Rouergue.xml
JJ227;263;554;136;Paris_AN_JJ_inventaire_Rouergue.xml
JJ227;313;555;158v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ227;318;556;160v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ227;335;557;168v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ227;360;558;180v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ230;179;559;90;Paris_AN_JJ_inventaire_Rouergue.xml
JJ232;27;560;8;Paris_AN_JJ_inventaire_Rouergue.xml
JJ232;103;561;44v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ232;106;562;46v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ232;161;563;82;Paris_AN_JJ_inventaire_Rouergue.xml
JJ232;168;564;86;Paris_AN_JJ_inventaire_Rouergue.xml
JJ233;8;565;15;Paris_AN_JJ_inventaire_Rouergue.xml
JJ233;30;566;35;Paris_AN_JJ_inventaire_Rouergue.xml
JJ234;93;567;51;Paris_AN_JJ_inventaire_Rouergue.xml
JJ234;115;568;62;Paris_AN_JJ_inventaire_Rouergue.xml
JJ235;235;569;74;Paris_AN_JJ_inventaire_Rouergue.xml
