manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293246,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdg5f7cnoex0/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,38v,4653,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_87.jpg,4653,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdg5f7cnoex0/full/,1200/0/default.jpg",200,1298,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293247,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9qqozizt8qu/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,39r,4752,4233,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_88.jpg,4752,4233,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9qqozizt8qu/full/,1200/0/default.jpg",200,1347,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293248,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5ybfemzepdv/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,39v,4653,4305,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_89.jpg,4653,4305,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5ybfemzepdv/full/,1200/0/default.jpg",200,1297,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293249,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vus26frldrv3/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,40r,4803,4233,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_90.jpg,4803,4233,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vus26frldrv3/full/,1200/0/default.jpg",200,1362,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293250,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vij31iw99rf7/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,40v,4701,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_91.jpg,4701,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vij31iw99rf7/full/,1200/0/default.jpg",200,1311,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293251,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2umou0e7v80/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,41r,4803,4233,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_92.jpg,4803,4233,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2umou0e7v80/full/,1200/0/default.jpg",200,1362,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293252,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfgp0tgvxzf/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,41v,4701,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_93.jpg,4701,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfgp0tgvxzf/full/,1200/0/default.jpg",200,1311,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293253,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v00yxa7operj/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,42r,4803,4263,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_94.jpg,4803,4263,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v00yxa7operj/full/,1200/0/default.jpg",200,1352,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293254,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1fe1tlx2mvh/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,42v,4704,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_95.jpg,4704,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1fe1tlx2mvh/full/,1200/0/default.jpg",200,1312,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293255,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2kiv1et0tt0/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,43r,4803,4263,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_96.jpg,4803,4263,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2kiv1et0tt0/full/,1200/0/default.jpg",200,1352,1200
