manifestURL;canvasId;imageLabel;urlImage;htmlCode;imageWidthAsDownloaded;imageHeightAsDownloaded;imageWidthAsDeclared;imageHeightAsDeclared;urlResizedImage;ResizedImagehtmlCode;ResizedImageWidthAsDownloaded;ResizedImageHeightAsDownloaded;imageURL_resolved;urlResizedImage_resolved;imageFileName;localExists;checksumMD5
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390908;89r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwiix6cn4xup/full/full/0/default.jpg;200;2406;3000;3808;4749;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwiix6cn4xup/full/1200,/0/default.jpg;200;1200;1497;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7631_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7631_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0179.jpg;True;1a5e879e67147c016b9dea74efafe0a5
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390909;89v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7bhib9saukv/full/full/0/default.jpg;200;2372;3000;3736;4725;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7bhib9saukv/full/1200,/0/default.jpg;200;1200;1518;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7632_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7632_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0180.jpg;True;745764a8847b320c2b899b99f189864c
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390910;90r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3l55gsl32hm/full/full/0/default.jpg;200;2406;3000;3808;4749;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3l55gsl32hm/full/1200,/0/default.jpg;200;1200;1497;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7633_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7633_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0181.jpg;True;ed1098af88acb3d643072c64ed1706ff
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390911;90v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkfsx3wuxl19/full/full/0/default.jpg;200;2357;3000;3736;4755;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkfsx3wuxl19/full/1200,/0/default.jpg;200;1200;1527;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7634_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7634_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0182.jpg;True;55c19ecdf5e8f425ddc10f285b72c354
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390912;91r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3kldcv7wrai/full/full/0/default.jpg;200;2421;3000;3832;4749;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3kldcv7wrai/full/1200,/0/default.jpg;200;1200;1487;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7635_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7635_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0183.jpg;True;69e5cd2852d79aa37b9c6343b98ecdd7
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390913;91v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxgzp22rkocz/full/full/0/default.jpg;200;2376;3000;3766;4755;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxgzp22rkocz/full/1200,/0/default.jpg;200;1200;1515;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7636_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7636_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0184.jpg;True;890a344c157719f7fba53bee323be98b
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390914;92r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh92d30z5a3q/full/full/0/default.jpg;200;2421;3000;3832;4749;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh92d30z5a3q/full/1200,/0/default.jpg;200;1200;1487;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7637_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7637_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0185.jpg;True;f9470ab4462133a26ffb313e1aaa78cc
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390915;92v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvg2qnzhyief/full/full/0/default.jpg;200;2353;3000;3730;4755;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvg2qnzhyief/full/1200,/0/default.jpg;200;1200;1530;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7638_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7638_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0186.jpg;True;ca6e5ccf44215834ab600209b7fc8d2e
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390916;93r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh4hkw1980qi/full/full/0/default.jpg;200;2421;3000;3832;4749;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh4hkw1980qi/full/1200,/0/default.jpg;200;1200;1487;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7639_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7639_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0187.jpg;True;9412dc7c91960944c67949e12ff73350
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390917;93v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v33m33se6ian/full/full/0/default.jpg;200;2353;3000;3730;4755;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v33m33se6ian/full/1200,/0/default.jpg;200;1200;1530;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7640_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7640_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0188.jpg;True;11ed08ad3fdccbf39961a98633324c1f
