manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198209,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhj4c6ggfeks/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,5r,3888,6301,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-11.jpg,3888,6301,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhj4c6ggfeks/full/1200,/0/default.jpg+ACI-,200,1200,1945
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198210,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3su18wn3swf/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,5v,2048,2048,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-12.jpg,2048,2048,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3su18wn3swf/full/1200,/0/default.jpg+ACI-,200,1200,1200
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198211,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbetf51dcfuv/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,6r,4160,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-13.jpg,4160,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbetf51dcfuv/full/1200,/0/default.jpg+ACI-,200,1200,1857
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198212,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk610mhf7aiz/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,6v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-14.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk610mhf7aiz/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198213,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4k817bt4q4i/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,7r,4248,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-15.jpg,4248,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4k817bt4q4i/full/1200,/0/default.jpg+ACI-,200,1200,1830
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198214,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkkomx01rvmy/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,7v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-16.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkkomx01rvmy/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198215,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxmle1sokss4/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,8r,4248,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-17.jpg,4248,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxmle1sokss4/full/1200,/0/default.jpg+ACI-,200,1200,1830
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198216,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0uccnh3s0oc/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,8v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-18.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0uccnh3s0oc/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198217,https://iiif.irht.cnrs.fr/iiif/ark:/63955/voaaoc2jy0hk/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,9r,4248,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-19.jpg,4248,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/voaaoc2jy0hk/full/1200,/0/default.jpg+ACI-,200,1200,1830
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198218,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmvmej77cc76/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,9v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-20.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmvmej77cc76/full/1200,/0/default.jpg+ACI-,200,1200,1875
